dispatching_base_number,date,active_vehicles,trips,Day,DayOfWeek,Month,Predicted_Trips
B02617,2015-01-17,1306,12676,17,5,1,12643.97
B02764,2015-01-17,3657,36318,17,5,1,37657.51
B02512,2015-01-18,177,1521,18,6,1,1349.07
B02598,2015-01-18,869,9443,18,6,1,8223.57
B02765,2015-01-18,248,2287,18,6,1,2247.62
B02764,2015-01-18,3290,35182,18,6,1,32505.27
B02682,2015-01-18,1056,11161,18,6,1,10866.98
B02617,2015-01-18,1223,12879,18,6,1,12418.54
B02682,2015-01-19,883,7028,19,0,1,7142.28
B02617,2015-01-19,992,7775,19,0,1,8386.98
B02765,2015-01-19,238,1568,19,0,1,1574.13
B02764,2015-01-19,2958,22750,19,0,1,21801.75
B02512,2015-01-19,168,1025,19,0,1,1054.72
B02598,2015-01-19,706,5609,19,0,1,5945.71
B02598,2015-01-20,944,7206,20,1,1,8296.44
B02682,2015-01-20,1151,8496,20,1,1,8669.69
B02512,2015-01-20,221,1310,20,1,1,1360.15
B02764,2015-01-20,3654,26137,20,1,1,27087.65
B02765,2015-01-20,272,1608,20,1,1,1648.7
B02617,2015-01-20,1350,10015,20,1,1,11167.66
B02764,2015-01-21,3718,27344,21,2,1,27944.82
B02512,2015-01-21,242,1519,21,2,1,1554.65
B02682,2015-01-21,1228,9472,21,2,1,9785.05
B02598,2015-01-21,1035,8041,21,2,1,8286.85
B02765,2015-01-21,296,1774,21,2,1,1865.27
B02617,2015-01-21,1429,10997,21,2,1,11646.25
B02617,2015-01-22,1471,12143,22,3,1,13468.17
B02764,2015-01-22,3889,30091,22,3,1,30420.8
B02512,2015-01-22,246,1551,22,3,1,1618.58
B02598,2015-01-22,1071,9080,22,3,1,9287.14
B02682,2015-01-22,1295,10699,22,3,1,10932.78
B02765,2015-01-22,295,2038,22,3,1,2027.9
B02598,2015-01-23,1093,9343,23,4,1,9489.49
B02512,2015-01-23,246,1670,23,4,1,1749.47
B02765,2015-01-23,299,2162,23,4,1,2168.11
B02764,2015-01-23,4040,33756,23,4,1,34665.4
B02617,2015-01-23,1482,13121,23,4,1,13929.77
B02682,2015-01-23,1330,11767,23,4,1,12166.88
B02598,2015-01-24,945,10040,24,5,1,9609.0
B02764,2015-01-24,3652,39187,24,5,1,36281.48
B02512,2015-01-24,211,1608,24,5,1,1544.89
B02617,2015-01-24,1367,14143,24,5,1,13996.54
B02682,2015-01-24,1223,13355,24,5,1,12553.05
B02765,2015-01-24,245,2376,24,5,1,2197.18
B02512,2015-01-25,183,1190,25,6,1,1232.95
B02764,2015-01-25,3300,28066,25,6,1,31401.13
B02765,2015-01-25,226,1755,25,6,1,1781.1
B02598,2015-01-25,829,7219,25,6,1,7347.52
B02682,2015-01-25,1046,9303,25,6,1,9907.02
B02617,2015-01-25,1203,10362,25,6,1,10978.44
B02617,2015-01-26,1150,7608,26,0,1,7996.15
B02598,2015-01-26,860,5919,26,0,1,6475.16
B02765,2015-01-26,230,1363,26,0,1,1404.46
B02764,2015-01-26,3012,19940,26,0,1,20482.16
B02682,2015-01-26,1084,7565,26,0,1,8009.83
B02512,2015-01-26,197,1000,26,0,1,1201.42
B02682,2015-01-27,600,4414,27,1,1,5071.22
B02765,2015-01-27,135,921,27,1,1,818.47
B02617,2015-01-27,596,4325,27,1,1,5077.67
B02598,2015-01-27,434,2957,27,1,1,3118.76
B02512,2015-01-27,112,629,27,1,1,803.89
B02764,2015-01-27,1619,11998,27,1,1,12847.89
B02764,2015-01-28,3692,28137,28,2,1,28216.2
B02682,2015-01-28,1235,10025,28,2,1,10006.96
B02765,2015-01-28,286,1913,28,2,1,1892.68
B02617,2015-01-28,1356,10862,28,2,1,11084.14
B02598,2015-01-28,1011,8071,28,2,1,8370.8
